iter	MAE
0	4842.961876
1	4763.0711
2	4668.545662
3	4585.354031
4	4497.838147
5	4416.626543
6	4344.613264
7	4269.228173
8	4191.30463
9	4127.613078
10	4063.20156
11	3995.601268
12	3931.828319
13	3864.980481
14	3803.708361
15	3746.279004
16	3695.262385
17	3634.439912
18	3581.409846
19	3535.264503
20	3488.239778
21	3440.69741
22	3395.102087
23	3348.155084
24	3306.50771
25	3262.177394
26	3222.773019
27	3184.998021
28	3149.820368
29	3116.733679
30	3083.823047
31	3054.780793
32	3023.402253
33	2992.685308
34	2963.340344
35	2930.597081
36	2906.236988
37	2881.862847
38	2856.278922
39	2832.299035
40	2804.666041
41	2782.854262
42	2757.807457
43	2733.773875
44	2709.306513
45	2696.006603
46	2671.421752
47	2656.855742
48	2634.20389
49	2617.003884
50	2601.897635
51	2580.944267
52	2568.753133
53	2554.119797
54	2541.386678
55	2526.110879
56	2513.71
57	2497.230177
58	2482.683453
59	2469.076938
60	2458.097257
61	2443.337992
62	2427.682199
63	2412.259616
64	2399.173707
65	2388.668468
66	2376.090142
67	2365.754888
68	2355.592426
69	2344.689225
70	2337.338278
71	2326.036963
72	2314.583658
73	2301.421114
74	2289.930751
75	2278.600229
76	2266.352466
77	2255.662158
78	2247.187096
79	2238.788604
80	2229.791822
81	2220.119257
82	2214.088665
83	2206.188646
84	2197.294044
85	2191.558265
86	2183.402505
87	2176.810709
88	2167.728352
89	2162.05697
90	2152.597736
91	2147.047425
92	2138.780971
93	2133.048234
94	2126.193952
95	2118.843485
96	2112.756355
97	2107.956945
98	2100.979933
99	2093.400213
100	2087.655841
101	2083.631294
102	2078.278474
103	2073.859058
104	2067.879623
105	2063.487156
106	2060.972462
107	2057.061862
108	2051.363627
109	2046.059531
110	2041.101996
111	2036.171333
112	2030.640361
113	2023.464541
114	2016.941553
115	2011.812472
116	2006.218113
117	2000.450173
118	1993.552507
119	1991.367974
120	1985.990499
121	1982.518001
122	1977.063758
123	1972.565003
124	1970.242237
125	1965.612439
126	1962.106217
127	1957.366585
128	1953.704172
129	1950.277819
130	1947.617867
131	1944.409774
132	1940.88131
133	1934.471056
134	1929.811223
135	1926.457925
136	1922.937652
137	1918.059065
138	1913.206746
139	1908.150393
140	1905.272578
141	1901.5774
142	1898.587643
143	1894.60379
144	1891.116919
145	1886.257381
146	1882.70356
147	1880.216734
148	1876.853411
149	1874.017898
150	1869.526371
151	1867.568262
152	1865.50521
153	1860.861908
154	1857.860533
155	1853.325793
156	1851.210729
157	1846.716507
158	1843.760552
159	1839.016532
160	1836.377504
161	1833.576756
162	1828.606089
163	1824.374946
164	1822.110054
165	1818.531378
166	1814.905715
167	1811.983969
168	1809.643172
169	1807.50265
170	1805.143564
171	1802.249728
172	1800.277747
173	1797.223167
174	1794.705519
175	1790.885554
176	1788.203994
177	1785.799543
178	1783.547749
179	1780.804696
180	1777.771253
181	1775.966711
182	1774.587178
183	1771.619713
184	1768.198537
185	1763.435353
186	1761.224121
187	1759.068319
188	1757.005682
189	1755.09068
190	1752.834173
191	1749.708891
192	1748.388023
193	1746.99485
194	1744.648902
195	1743.248251
196	1740.873548
197	1739.156157
198	1735.124629
199	1730.893929
200	1729.530679
201	1727.6215
202	1724.774691
203	1723.675812
204	1722.48764
205	1721.096002
206	1719.416506
207	1716.020236
208	1714.860476
209	1712.168217
210	1710.191482
211	1707.605286
212	1705.841009
213	1704.899083
214	1702.970989
215	1700.417762
216	1698.488778
217	1696.650202
218	1691.901434
219	1690.689689
220	1688.317396
221	1686.568632
222	1685.444986
223	1683.122667
224	1681.122584
225	1679.419968
226	1677.620894
227	1674.698026
228	1672.956043
229	1671.48445
230	1669.195662
231	1667.062073
232	1663.878358
233	1660.633903
234	1658.249875
235	1657.146799
236	1654.355762
237	1652.899596
238	1651.542374
239	1649.865952
240	1648.805799
241	1646.38275
242	1643.416781
243	1641.161107
244	1640.177134
245	1637.983976
246	1636.932697
247	1635.217195
248	1633.629912
249	1631.761993
250	1630.057031
251	1628.690382
252	1627.059998
253	1625.903655
254	1623.032004
255	1621.426956
256	1619.941722
257	1617.789409
258	1615.947572
259	1613.889052
260	1611.544274
261	1609.934332
262	1608.41698
263	1604.421845
264	1601.740769
265	1599.365238
266	1597.837245
267	1596.024972
268	1595.243691
269	1594.317835
270	1591.904343
271	1590.368502
272	1587.914457
273	1585.333527
274	1582.723135
275	1581.117209
276	1577.817659
277	1576.380285
278	1575.021198
279	1572.350406
280	1570.743854
281	1569.480118
282	1566.981948
283	1565.362092
284	1563.385997
285	1560.038051
286	1555.834209
287	1554.782125
288	1552.707567
289	1551.067896
290	1547.641854
291	1545.387667
292	1544.252371
293	1543.12783
294	1539.909669
295	1538.635613
296	1536.308654
297	1533.458924
298	1530.518233
299	1526.942126
300	1524.857519
301	1524.034356
302	1522.534595
303	1520.361804
304	1517.200128
305	1514.451789
306	1512.315402
307	1510.706338
308	1508.579236
309	1506.454283
310	1505.050458
311	1504.49669
312	1503.395313
313	1501.217219
314	1500.159928
315	1497.85222
316	1495.957884
317	1492.911601
318	1491.412248
319	1487.6889
320	1486.227774
321	1484.440262
322	1482.555959
323	1481.268841
324	1479.336308
325	1477.327585
326	1475.327195
327	1473.765542
328	1473.114056
329	1470.632837
330	1469.196995
331	1467.820805
332	1465.475652
333	1462.973315
334	1460.968263
335	1457.248682
336	1455.248222
337	1453.702288
338	1451.78942
339	1450.132261
340	1447.546064
341	1446.41808
342	1444.184863
343	1442.970326
344	1441.759585
345	1439.546502
346	1436.73239
347	1434.14057
348	1432.055033
349	1430.755186
350	1428.803103
351	1427.377833
352	1425.041874
353	1423.644879
354	1421.232765
355	1418.908084
356	1416.550342
357	1415.379895
358	1413.193991
359	1411.259476
360	1409.534187
361	1407.084758
362	1405.564788
363	1404.389842
364	1402.761442
365	1400.977811
366	1399.116093
367	1397.506399
368	1396.285834
369	1394.247068
370	1393.448111
371	1391.419552
372	1390.68481
373	1389.104112
374	1387.439914
375	1385.766903
376	1385.315368
377	1383.853396
378	1381.677364
379	1379.518897
380	1377.414962
381	1375.799147
382	1373.636088
383	1371.639772
384	1370.594486
385	1369.773969
386	1368.52492
387	1366.930508
388	1364.896658
389	1363.332293
390	1362.191333
391	1360.980466
392	1359.009701
393	1357.198695
394	1354.906723
395	1354.124077
396	1352.416658
397	1351.158073
398	1349.736714
399	1348.408163
400	1347.300273
401	1346.444867
402	1344.156121
403	1343.596551
404	1341.702645
405	1340.321753
406	1338.624473
407	1336.544704
408	1335.637936
409	1334.621312
410	1333.449551
411	1332.461229
412	1330.470632
413	1329.970153
414	1328.837867
415	1326.698466
416	1325.377488
417	1324.338886
418	1322.300345
419	1321.204479
420	1320.109451
421	1317.771046
422	1315.867526
423	1314.347852
424	1312.781487
425	1312.250252
426	1311.28395
427	1309.3189
428	1307.913456
429	1306.079482
430	1304.911607
431	1303.556944
432	1302.392706
433	1300.831926
434	1298.927435
435	1297.843345
436	1296.694168
437	1295.389231
438	1294.540993
439	1293.367958
440	1292.040204
441	1290.048854
442	1289.456529
443	1288.030472
444	1287.289415
445	1284.793429
446	1282.930453
447	1281.984125
448	1281.126168
449	1279.652153
450	1278.173075
451	1276.284662
452	1275.07421
453	1274.41156
454	1272.510909
455	1270.50532
456	1269.155314
457	1268.109493
458	1266.700054
459	1266.185074
460	1265.113405
461	1263.517119
462	1262.403297
463	1260.523019
464	1259.484809
465	1258.534428
466	1257.991242
467	1257.079068
468	1256.52414
469	1255.177215
470	1254.399319
471	1252.139534
472	1251.331807
473	1249.207434
474	1248.368526
475	1246.761972
476	1245.430167
477	1243.932563
478	1242.55141
479	1241.218125
480	1240.168744
481	1238.842149
482	1238.547313
483	1236.188728
484	1235.770387
485	1234.855478
486	1234.365505
487	1233.007632
488	1231.345374
489	1229.822832
490	1228.44256
491	1227.361955
492	1226.356208
493	1224.926322
494	1222.484239
495	1221.362404
496	1220.343382
497	1219.658804
498	1218.491318
499	1216.978613
500	1215.730605
501	1214.653766
502	1214.14674
503	1212.46018
504	1211.197216
505	1210.415851
506	1208.614501
507	1208.000016
508	1207.208839
509	1206.087565
510	1205.178977
511	1204.287855
512	1203.400424
513	1202.997469
514	1202.620453
515	1202.263081
516	1201.095687
517	1199.953923
518	1198.866052
519	1197.895815
520	1196.555681
521	1195.823324
522	1194.467505
523	1193.200759
524	1192.739552
525	1191.44514
526	1190.256975
527	1189.759566
528	1188.90308
529	1187.924349
530	1186.620727
531	1185.200667
532	1184.327921
533	1182.638733
534	1181.948708
535	1181.216988
536	1180.487741
537	1179.973073
538	1179.151011
539	1178.473994
540	1177.324515
541	1175.840747
542	1175.170083
543	1174.371609
544	1173.254958
545	1172.061378
546	1170.172534
547	1169.592872
548	1168.407754
549	1167.810536
550	1166.652301
551	1165.467791
552	1164.040113
553	1162.876325
554	1162.039227
555	1160.550653
556	1159.419194
557	1158.488818
558	1157.710574
559	1156.885393
560	1155.639762
561	1154.353943
562	1152.798711
563	1151.548938
564	1150.907819
565	1150.16121
566	1149.374304
567	1148.387889
568	1147.14711
569	1146.15844
570	1145.120471
571	1144.119599
572	1143.285244
573	1142.368409
574	1141.560827
575	1140.269023
576	1139.154545
577	1138.229762
578	1137.371313
579	1136.08856
580	1134.512299
581	1133.480715
582	1132.463769
583	1131.899345
584	1130.561379
585	1129.540668
586	1128.790361
587	1128.11246
588	1126.61709
589	1125.960377
590	1125.209507
591	1124.139068
592	1123.058478
593	1122.46123
594	1121.986772
595	1120.854164
596	1120.106996
597	1119.157341
598	1118.369104
599	1117.28515
600	1116.619886
601	1115.175404
602	1114.033034
603	1113.384247
604	1112.675519
605	1111.785942
606	1111.240176
607	1110.343227
608	1109.584819
609	1108.965055
610	1108.124743
611	1106.686634
612	1106.350929
613	1106.1066
614	1105.305253
615	1104.1043
616	1103.422038
617	1102.600362
618	1101.711665
619	1100.793137
620	1099.986405
621	1099.551428
622	1098.987258
623	1098.21349
624	1097.652825
625	1097.118232
626	1096.509493
627	1095.612287
628	1094.70258
629	1093.635594
630	1093.400412
631	1092.601785
632	1091.920726
633	1090.819597
634	1089.560814
635	1088.548604
636	1088.182232
637	1087.750046
638	1087.244589
639	1086.530566
640	1085.418783
641	1084.832407
642	1084.078934
643	1083.466844
644	1082.832316
645	1082.261262
646	1081.465078
647	1080.560819
648	1080.222694
649	1079.575473
650	1079.418032
651	1077.886852
652	1076.808754
653	1076.166713
654	1074.069846
655	1073.014683
656	1071.878473
657	1070.465706
658	1070.057957
659	1069.320254
660	1068.530204
661	1067.790065
662	1066.707197
663	1066.055392
664	1065.30731
665	1064.44366
666	1063.991862
667	1063.545722
668	1063.156238
669	1062.564593
670	1061.447868
671	1061.233538
672	1060.913313
673	1059.929329
674	1058.844659
675	1057.748289
676	1057.223711
677	1056.789015
678	1056.222067
679	1055.0694
680	1053.688205
681	1053.279466
682	1052.704994
683	1051.824084
684	1051.328511
685	1049.809092
686	1048.9767
687	1047.873183
688	1046.531349
689	1046.172487
690	1045.553843
691	1044.358982
692	1043.35772
693	1043.041424
694	1042.132857
695	1041.799375
696	1041.231226
697	1039.84694
698	1039.69204
699	1038.619252
700	1038.090293
701	1037.393635
702	1035.787762
703	1035.11739
704	1034.783736
705	1033.75255
706	1032.469686
707	1031.159716
708	1030.277912
709	1029.099041
710	1028.49036
711	1027.720603
712	1026.913874
713	1026.04561
714	1025.304943
715	1024.952709
716	1023.616182
717	1022.739974
718	1022.03415
719	1021.696049
720	1020.412459
721	1019.878677
722	1019.480805
723	1018.554829
724	1018.007526
725	1017.704529
726	1016.660364
727	1016.039812
728	1015.550682
729	1014.998037
730	1013.718934
731	1013.367352
732	1012.813747
733	1012.339903
734	1011.562958
735	1011.164493
736	1010.831747
737	1009.699278
738	1009.233333
739	1008.427076
740	1007.351062
741	1006.276249
742	1005.899878
743	1005.324264
744	1004.930795
745	1004.642073
746	1003.909929
747	1003.008031
748	1002.836652
749	1002.188129
750	1001.692161
751	1001.144765
752	1000.542118
753	999.7078586
754	999.2122116
755	998.6061353
756	997.3690938
757	996.2061744
758	995.2715079
759	994.6520688
760	993.365097
761	993.0459576
762	992.7179504
763	991.7758726
764	990.5780379
765	989.8582298
766	989.5064287
767	989.0773178
768	988.7709153
769	988.0858208
770	987.3196102
771	986.707263
772	985.6475928
773	984.8358692
774	984.4324329
775	983.8198257
776	983.1819657
777	982.7533973
778	982.1324632
779	981.7545107
780	981.2716931
781	980.2254986
782	979.6663425
783	979.0157605
784	978.580337
785	978.2594568
786	977.3399792
787	976.6771385
788	975.8477475
789	975.4185677
790	975.1717646
791	974.7580633
792	974.4490145
793	974.0329259
794	973.1644281
795	972.7833074
796	972.4713759
797	971.7857553
798	971.2004863
799	970.8884482
800	970.147296
801	969.1331863
802	968.8641243
803	967.7079957
804	967.3203251
805	966.3714404
806	966.0206109
807	965.5795744
808	964.8802242
809	964.0216317
810	963.7684093
811	962.9406175
812	962.253728
813	961.2798734
814	960.7943184
815	960.1587389
816	960.0729875
817	959.5398855
818	958.8594574
819	957.946321
820	957.6144054
821	956.7956754
822	956.2461588
823	955.8487568
824	955.0205692
825	954.4517953
826	953.8719292
827	953.2063717
828	952.9539356
829	952.682094
830	952.3221013
831	951.8297519
832	951.3046869
833	950.5326329
834	950.2348896
835	949.4823786
836	948.4254104
837	947.9224804
838	947.7024219
839	947.0636122
840	946.3847228
841	945.8761912
842	945.4380901
843	945.0695009
844	944.5558458
845	943.9885516
846	943.5551255
847	943.2494292
848	942.1947623
849	941.6013464
850	940.883486
851	940.3340898
852	940.0333982
853	939.4965749
854	939.2113653
855	938.8598806
856	938.5058903
857	937.5552767
858	937.303777
859	936.5655757
860	935.9232392
861	935.2783794
862	934.9022652
863	934.6327375
864	934.1417106
865	933.9302391
866	933.5237008
867	933.248587
868	932.7547229
869	932.1992783
870	931.245474
871	930.5956172
872	930.2328084
873	929.7289939
874	929.1656648
875	928.6321837
876	928.3111323
877	928.1465509
878	927.8532588
879	926.9746919
880	926.3890251
881	925.8260078
882	925.5395518
883	925.1318306
884	924.5581672
885	924.0771712
886	923.6797202
887	923.3824538
888	922.6692468
889	922.30826
890	921.92078
891	920.9977021
892	920.6512771
893	920.2074516
894	919.9475793
895	919.5353323
896	918.1413183
897	917.6050604
898	916.5116201
899	916.3745372
900	915.9045519
901	915.3819471
902	914.836766
903	914.3446218
904	913.5981972
905	913.0229033
906	912.3013428
907	912.0477582
908	911.282673
909	910.8898526
910	910.5376206
911	909.9553271
912	909.5281293
913	909.0453518
914	908.5848279
915	908.1789202
916	907.8511693
917	907.4147591
918	907.1139904
919	906.8299483
920	906.6207605
921	906.2926018
922	905.9660135
923	905.8259181
924	905.3481845
925	904.9351512
926	904.6258304
927	904.0598923
928	903.682387
929	903.1320819
930	902.9141534
931	902.2881916
932	901.8374346
933	901.7190988
934	900.9210936
935	900.4406037
936	899.8585712
937	899.1730899
938	898.5907351
939	898.0093658
940	897.5169954
941	896.7799542
942	896.4547514
943	895.6060584
944	895.5535423
945	895.328578
946	894.3727546
947	893.7425864
948	893.4532281
949	893.0103725
950	892.4966748
951	891.9640471
952	891.8673854
953	891.3897061
954	891.1315273
955	890.9575209
956	890.2197349
957	889.571883
958	889.1244899
959	888.6355587
960	888.4027224
961	887.8113991
962	887.562576
963	887.2382057
964	886.4461833
965	885.9920458
966	885.3980224
967	885.2826973
968	885.0361595
969	884.6787575
970	884.2801015
971	883.6619124
972	883.0055644
973	882.2175859
974	881.5741745
975	881.0372842
976	880.1442666
977	880.0042681
978	879.58076
979	879.0593926
980	878.8259196
981	878.4351146
982	878.2976937
983	877.9562377
984	877.3392609
985	876.8425865
986	876.3233707
987	875.9730824
988	875.4621348
989	875.0575003
990	874.5734098
991	874.186874
992	873.8893168
993	873.0378302
994	872.5502877
995	872.2288906
996	871.4686312
997	870.7126897
998	870.3504261
999	870.2312403
1000	869.9844821
1001	869.5086436
1002	869.3175091
1003	868.9152091
1004	868.5930686
1005	868.3625644
1006	867.9977361
1007	867.4797786
1008	867.1794561
1009	866.8829339
1010	866.4241327
1011	866.0515102
1012	865.7475407
1013	865.3523724
1014	864.9628972
1015	864.6142915
1016	864.2130312
1017	863.2464321
1018	862.6333626
1019	862.1808162
1020	861.7055378
1021	861.3173774
1022	861.0752959
1023	860.564935
1024	859.9983115
1025	859.8206494
1026	859.4643294
1027	858.8105433
1028	857.565081
1029	856.6606203
1030	856.5177245
1031	855.9810822
1032	855.8364035
1033	855.5780161
1034	855.2481985
1035	854.7333909
1036	854.460723
1037	853.9960579
1038	853.438466
1039	852.9644114
1040	852.3758601
1041	851.8187691
1042	851.4698363
1043	850.9898823
1044	850.6814171
1045	850.2594345
1046	849.7968603
1047	849.4353982
1048	849.0533685
1049	848.8335266
1050	848.1592577
1051	847.2389946
1052	846.8326214
1053	846.0008171
1054	845.6034151
1055	845.336809
1056	844.577732
1057	844.3046771
1058	843.4972596
1059	843.060652
1060	842.79163
1061	842.2197738
1062	841.3020027
1063	841.0908005
1064	840.660387
1065	840.4583075
1066	840.2447936
1067	839.8412445
1068	839.3026567
1069	838.7449557
1070	838.3422045
1071	837.9477988
1072	837.7600619
1073	837.1596786
1074	836.6655271
1075	836.2232383
1076	836.0910946
1077	835.5644475
1078	835.3546915
1079	835.003867
1080	834.7439995
1081	834.5466055
1082	834.0872215
1083	833.726529
1084	833.3762211
1085	832.8484271
1086	832.1650593
1087	831.5331762
1088	831.1285174
1089	830.8246016
1090	830.5939806
1091	830.4192132
1092	829.935971
1093	829.3680849
1094	828.9783197
1095	828.6087139
1096	828.4678262
1097	828.094351
1098	827.648701
1099	827.293074
1100	826.5723216
1101	826.0441309
1102	825.801949
1103	825.4704502
1104	824.9949138
1105	824.5931245
1106	824.416767
1107	823.2029957
1108	822.8939808
1109	822.563742
1110	822.2922578
1111	821.84852
1112	821.4684866
1113	821.1477602
1114	820.5395174
1115	820.2722673
1116	820.1050404
1117	819.4417549
1118	818.7461437
1119	818.2116927
1120	817.7895823
1121	817.4443457
1122	816.810947
1123	816.3485477
1124	815.9604317
1125	815.6227044
1126	815.3391321
1127	815.0692543
1128	814.7261485
1129	814.3448607
1130	813.885898
1131	813.2486461
1132	812.8656955
1133	812.4762753
1134	812.0937941
1135	811.9559979
1136	811.8784333
1137	811.6034572
1138	810.7766222
1139	810.5804037
1140	810.318862
1141	809.6354115
1142	809.5045173
1143	809.0865468
1144	808.3515252
1145	807.9386962
1146	807.3434998
1147	807.0957225
1148	806.8936876
1149	806.5886105
1150	806.3078588
1151	805.6632944
1152	805.4316267
1153	805.1399603
1154	804.7940719
1155	804.693864
1156	804.4681232
1157	804.3933037
1158	804.1710571
1159	803.9061559
1160	803.716999
1161	803.0717212
1162	802.8041989
1163	802.724824
1164	802.4057372
1165	802.2682627
1166	801.9623977
1167	801.6540638
1168	801.2285969
1169	800.9537325
1170	800.6147132
1171	800.3953758
1172	799.943256
1173	799.6130807
1174	799.4318885
1175	799.2493918
1176	798.6232992
1177	798.4297299
1178	798.1037154
1179	797.7448523
1180	797.2940461
1181	796.9646018
1182	796.6565681
1183	796.2110561
1184	796.0602695
1185	795.6924359
1186	795.261355
1187	795.0261355
1188	794.641825
1189	794.3759049
1190	794.1716602
1191	794.0174091
1192	793.6417363
1193	793.1881791
1194	792.9974149
1195	792.439157
1196	792.2652229
1197	791.9306956
1198	791.8029
1199	791.1929347
1200	790.8570152
1201	790.575882
1202	789.7155294
1203	789.4777104
1204	789.0980903
1205	788.7112858
1206	788.3709974
1207	788.2736682
1208	788.0060257
1209	787.8271251
1210	787.7433067
1211	787.2956199
1212	786.5924556
1213	786.3377364
1214	786.0969711
1215	785.8376507
1216	785.4190563
1217	784.8011108
1218	784.5219199
1219	784.1668324
1220	783.9139504
1221	783.8032655
1222	783.3810596
1223	783.2171171
1224	782.8190896
1225	782.4115532
1226	782.198253
1227	782.0400192
1228	781.6957007
1229	781.37032
1230	781.1462348
1231	780.6791132
1232	779.8553636
1233	779.4740913
1234	779.2236268
1235	778.8843477
1236	778.6809888
1237	778.20777
1238	777.938424
1239	777.607698
1240	777.1862811
1241	776.7968235
1242	776.3157458
1243	776.0017413
1244	775.8225188
1245	775.5532865
1246	775.0085607
1247	774.545003
1248	774.1706764
1249	774.0872448
1250	773.8943611
1251	773.6068062
1252	773.4871443
1253	773.1082855
1254	772.6909733
1255	772.1966215
1256	771.8351002
1257	771.4022509
1258	771.049551
1259	770.4635221
1260	770.2478928
1261	769.9354887
1262	769.5740881
1263	769.5382522
1264	769.3706257
1265	768.8065184
1266	768.5927631
1267	768.1350291
1268	768.0470945
1269	767.6358992
1270	767.2920741
1271	766.7195645
1272	766.1361361
1273	765.787187
1274	765.7065686
1275	765.478453
1276	765.141929
1277	764.7972572
1278	764.5344444
1279	764.4590073
1280	764.2318798
1281	763.964224
1282	763.652207
1283	763.3972603
1284	763.0858471
1285	762.7703452
1286	762.4331429
1287	761.9079656
1288	761.5881328
1289	761.2534856
1290	760.9993644
1291	760.7775089
1292	760.4233275
1293	759.9947089
1294	759.5527814
1295	759.3348975
1296	759.2442871
1297	758.8445804
1298	758.7189924
1299	758.4979242
1300	758.4035815
1301	758.2052865
1302	757.9375981
1303	757.616258
1304	757.3800746
1305	757.2473612
1306	757.0376979
1307	756.9417946
1308	756.7214181
1309	756.5050695
1310	756.376277
1311	756.1821961
1312	755.8439553
1313	755.7225462
1314	755.6473449
1315	755.4937341
1316	755.3180551
1317	755.0178203
1318	754.6082218
1319	754.4318608
1320	754.2481725
1321	754.1328671
1322	753.850145
1323	753.6127472
1324	753.2470866
1325	753.1271932
1326	753.0475521
1327	752.7314752
1328	752.5552962
1329	752.438262
1330	751.9857911
1331	751.6692394
1332	751.3122635
1333	751.0829869
1334	750.806363
1335	750.6002887
1336	750.5130492
1337	750.18497
1338	749.8757209
1339	749.8152084
1340	749.4335811
1341	749.1918807
1342	749.0033934
1343	748.7655216
1344	748.512511
1345	748.3604198
1346	748.1468893
1347	747.9477135
1348	747.4057553
1349	747.0255253
1350	746.8748914
1351	746.601283
1352	746.3724255
1353	745.9916714
1354	745.9102035
1355	745.8048167
1356	745.4848393
1357	745.3199178
1358	745.2243817
1359	744.7711693
1360	744.4970558
1361	744.1992231
1362	743.7044675
1363	743.2498168
1364	743.0935614
1365	742.9707218
1366	742.7290315
1367	742.5849897
1368	742.4443128
1369	742.3199427
1370	742.0494645
1371	741.6667992
1372	741.4815743
1373	741.3952471
1374	741.1548229
1375	740.5982845
1376	740.4234635
1377	740.1703747
1378	739.8891412
1379	739.6861801
1380	739.4052484
1381	739.3311981
1382	739.1115871
1383	738.8577755
1384	738.0956656
1385	737.9389368
1386	737.8978797
1387	737.7690088
1388	737.5951802
1389	737.3951072
1390	737.1848115
1391	736.7900122
1392	736.660297
1393	736.581165
1394	736.4177829
1395	736.1709601
1396	736.0932512
1397	735.8408374
1398	735.6499342
1399	735.3555116
1400	735.2482504
1401	734.8951602
1402	734.6054739
1403	734.482849
1404	733.9685645
1405	733.8552707
1406	733.7830014
1407	733.4700255
1408	733.3153271
1409	732.9965603
1410	732.5608114
1411	732.0540523
1412	731.8041847
1413	731.5049804
1414	731.294847
1415	731.0874682
1416	730.7751993
1417	730.6974165
1418	730.4661907
1419	730.3108811
1420	730.1498316
1421	729.8361355
1422	729.4178386
1423	729.1984267
1424	728.7474251
1425	728.5383794
1426	728.0900612
1427	727.7794119
1428	727.3350129
1429	727.1472014
1430	726.8089418
1431	726.513584
1432	726.2272309
1433	725.75195
1434	725.2528775
1435	724.8677412
1436	724.7627553
1437	724.6137862
1438	723.9629805
1439	723.864005
1440	723.7782307
1441	722.9681653
1442	722.8670203
1443	722.6696196
1444	722.5176645
1445	722.1667625
1446	722.0804317
1447	721.6972019
1448	721.3161281
1449	721.1291867
1450	720.84944
1451	720.5720941
1452	720.2362189
1453	719.765182
1454	719.0925755
1455	718.7266566
1456	718.6516035
1457	718.516003
1458	718.2390456
