iter	Passed	Remaining
0	60	90155
1	72	54125
2	86	43038
3	98	36980
4	110	33094
5	122	30535
6	133	28548
7	146	27258
8	158	26220
9	170	25333
10	181	24599
11	192	23906
12	205	23479
13	216	22955
14	227	22537
15	239	22227
16	251	21938
17	262	21640
18	275	21445
19	288	21312
20	305	21532
21	318	21365
22	331	21256
23	343	21146
24	355	20953
25	367	20823
26	379	20722
27	391	20561
28	401	20373
29	412	20228
30	424	20109
31	435	19999
32	447	19881
33	459	19804
34	469	19664
35	482	19614
36	492	19487
37	503	19381
38	516	19338
39	528	19292
40	541	19257
41	553	19212
42	566	19189
43	579	19172
44	592	19163
45	604	19103
46	617	19085
47	630	19058
48	643	19043
49	654	18985
50	667	18959
51	679	18929
52	692	18914
53	707	18933
54	720	18932
55	733	18923
56	745	18880
57	757	18823
58	769	18793
59	781	18761
60	793	18722
61	806	18694
62	818	18675
63	831	18652
64	844	18649
65	857	18627
66	869	18595
67	880	18550
68	891	18497
69	903	18450
70	914	18403
71	926	18376
72	937	18327
73	949	18290
74	960	18256
75	972	18212
76	982	18156
77	993	18116
78	1005	18095
79	1017	18054
80	1028	18023
81	1039	17979
82	1052	17964
83	1063	17926
84	1075	17901
85	1087	17884
86	1098	17843
87	1111	17828
88	1122	17796
89	1133	17763
90	1145	17735
91	1158	17733
92	1171	17721
93	1183	17698
94	1196	17691
95	1207	17657
96	1219	17642
97	1232	17625
98	1247	17652
99	1260	17652
100	1273	17644
101	1284	17606
102	1296	17585
103	1307	17554
104	1318	17515
105	1330	17492
106	1340	17457
107	1352	17429
108	1363	17406
109	1374	17369
110	1386	17344
111	1397	17316
112	1408	17291
113	1419	17262
114	1431	17243
115	1444	17232
116	1456	17215
117	1467	17187
118	1478	17160
119	1490	17138
120	1501	17110
121	1512	17088
122	1525	17077
123	1536	17049
124	1548	17031
125	1559	17010
126	1572	16998
127	1583	16976
128	1595	16955
129	1606	16932
130	1618	16914
131	1630	16897
132	1641	16873
133	1653	16857
134	1664	16832
135	1675	16807
136	1685	16772
137	1697	16757
138	1709	16734
139	1719	16707
140	1731	16686
141	1743	16677
142	1754	16648
143	1765	16628
144	1777	16610
145	1787	16581
146	1799	16563
147	1810	16540
148	1822	16520
149	1832	16496
150	1845	16489
151	1856	16462
152	1867	16443
153	1878	16422
154	1890	16407
155	1903	16395
156	1913	16369
157	1924	16347
158	1936	16334
159	1949	16324
160	1961	16312
161	1973	16296
162	1984	16277
163	1996	16261
164	2006	16234
165	2018	16217
166	2028	16189
167	2038	16160
168	2048	16130
169	2058	16103
170	2068	16074
171	2079	16053
172	2089	16030
173	2100	16004
174	2110	15977
175	2120	15955
176	2130	15922
177	2140	15894
178	2150	15872
179	2161	15847
180	2171	15824
181	2182	15803
182	2192	15779
183	2202	15754
184	2212	15727
185	2223	15710
186	2235	15693
187	2248	15693
188	2260	15677
189	2270	15657
190	2281	15635
191	2291	15609
192	2302	15592
193	2314	15581
194	2326	15567
195	2339	15562
196	2349	15541
197	2361	15530
198	2373	15515
199	2383	15494
200	2394	15472
201	2404	15449
202	2415	15432
203	2425	15410
204	2435	15384
205	2446	15366
206	2456	15343
207	2466	15320
208	2476	15300
209	2487	15281
210	2497	15258
211	2508	15242
212	2519	15224
213	2529	15201
214	2540	15184
215	2550	15163
216	2561	15145
217	2571	15120
218	2582	15103
219	2592	15080
220	2603	15068
221	2614	15051
222	2625	15032
223	2635	15012
224	2645	14992
225	2655	14972
226	2666	14954
227	2676	14931
228	2686	14913
229	2698	14897
230	2708	14880
231	2719	14860
232	2729	14844
233	2741	14832
234	2752	14819
235	2762	14797
236	2773	14778
237	2783	14761
238	2799	14768
239	2809	14750
240	2819	14729
241	2830	14713
242	2840	14695
243	2852	14681
244	2862	14663
245	2873	14645
246	2884	14630
247	2894	14612
248	2904	14591
249	2915	14575
250	2924	14554
251	2935	14535
252	2946	14522
253	2956	14502
254	2966	14484
255	2976	14464
256	2987	14448
257	2997	14431
258	3008	14415
259	3019	14400
260	3030	14384
261	3039	14362
262	3049	14341
263	3059	14325
264	3070	14311
265	3080	14291
266	3091	14276
267	3102	14260
268	3112	14242
269	3122	14224
270	3132	14206
271	3142	14189
272	3153	14171
273	3163	14157
274	3173	14138
275	3184	14121
276	3194	14104
277	3205	14088
278	3216	14075
279	3228	14064
280	3242	14065
281	3252	14046
282	3263	14032
283	3272	14013
284	3283	13998
285	3294	13983
286	3304	13966
287	3315	13954
288	3326	13938
289	3337	13924
290	3348	13910
291	3358	13894
292	3368	13875
293	3378	13857
294	3389	13846
295	3399	13829
296	3409	13811
297	3421	13799
298	3432	13788
299	3443	13772
300	3454	13761
301	3467	13754
302	3479	13746
303	3492	13739
304	3503	13725
305	3514	13711
306	3524	13696
307	3534	13680
308	3546	13669
309	3556	13653
310	3567	13640
311	3578	13627
312	3588	13608
313	3598	13590
314	3608	13575
315	3618	13559
316	3629	13543
317	3639	13527
318	3650	13514
319	3660	13497
320	3670	13481
321	3681	13466
322	3691	13451
323	3702	13438
324	3713	13424
325	3724	13411
326	3734	13395
327	3745	13381
328	3755	13368
329	3767	13355
330	3776	13337
331	3788	13327
332	3798	13312
333	3809	13299
334	3819	13282
335	3830	13268
336	3840	13253
337	3849	13234
338	3860	13221
339	3870	13204
340	3880	13188
341	3889	13170
342	3900	13157
343	3910	13141
344	3920	13125
345	3931	13111
346	3941	13095
347	3951	13080
348	3961	13064
349	3971	13049
350	3981	13033
351	3991	13017
352	4003	13006
353	4013	12992
354	4023	12975
355	4033	12961
356	4043	12944
357	4054	12932
358	4064	12917
359	4074	12901
360	4085	12891
361	4095	12875
362	4105	12860
363	4115	12844
364	4125	12829
365	4136	12816
366	4147	12805
367	4159	12793
368	4170	12781
369	4181	12771
370	4193	12761
371	4206	12753
372	4217	12742
373	4230	12737
374	4242	12728
375	4254	12719
376	4265	12706
377	4277	12697
378	4290	12689
379	4303	12684
380	4316	12676
381	4328	12668
382	4342	12664
383	4353	12651
384	4363	12637
385	4374	12625
386	4386	12615
387	4397	12602
388	4410	12596
389	4424	12593
390	4434	12578
391	4445	12565
392	4455	12551
393	4467	12540
394	4478	12527
395	4489	12515
396	4499	12500
397	4509	12486
398	4520	12472
399	4530	12458
400	4543	12450
401	4552	12434
402	4563	12422
403	4574	12410
404	4585	12399
405	4595	12383
406	4607	12372
407	4618	12362
408	4630	12351
409	4642	12341
410	4652	12328
411	4664	12317
412	4675	12305
413	4685	12290
414	4694	12273
415	4705	12262
416	4716	12248
417	4726	12233
418	4737	12221
419	4747	12208
420	4758	12196
421	4770	12185
422	4781	12173
423	4791	12158
424	4806	12156
425	4819	12151
426	4832	12144
427	4849	12146
428	4870	12158
429	4882	12148
430	4894	12140
431	4906	12129
432	4918	12119
433	4930	12111
434	4944	12105
435	4956	12095
436	4968	12086
437	4981	12077
438	4993	12068
439	5005	12058
440	5017	12049
441	5028	12035
442	5038	12022
443	5050	12010
444	5061	12000
445	5073	11989
446	5084	11977
447	5094	11963
448	5105	11950
449	5115	11937
450	5126	11924
451	5137	11911
452	5147	11897
453	5158	11885
454	5169	11873
455	5180	11859
456	5191	11848
457	5203	11839
458	5214	11826
459	5223	11810
460	5235	11798
461	5246	11788
462	5257	11774
463	5267	11761
464	5278	11748
465	5288	11735
466	5298	11720
467	5309	11707
468	5320	11695
469	5329	11680
470	5339	11665
471	5349	11650
472	5360	11638
473	5371	11625
474	5382	11615
475	5397	11610
476	5407	11598
477	5419	11586
478	5428	11571
479	5441	11563
480	5451	11549
481	5461	11535
482	5472	11523
483	5484	11512
484	5496	11502
485	5507	11490
486	5517	11477
487	5527	11463
488	5539	11451
489	5548	11436
490	5558	11423
491	5569	11410
492	5580	11397
493	5591	11386
494	5601	11373
495	5611	11359
496	5624	11351
497	5633	11335
498	5644	11322
499	5654	11309
500	5665	11296
501	5675	11283
502	5686	11270
503	5698	11260
504	5708	11247
505	5719	11234
506	5731	11226
507	5741	11211
508	5752	11199
509	5763	11187
510	5773	11174
511	5784	11161
512	5795	11150
513	5806	11138
514	5816	11124
515	5826	11111
516	5838	11100
517	5848	11087
518	5859	11076
519	5870	11063
520	5881	11051
521	5891	11038
522	5902	11026
523	5913	11014
524	5924	11003
525	5934	10989
526	5945	10977
527	5955	10964
528	5965	10949
529	5975	10935
530	5987	10927
531	5998	10913
532	6009	10902
533	6023	10897
534	6034	10884
535	6044	10871
536	6056	10860
537	6066	10847
538	6076	10834
539	6087	10822
540	6097	10808
541	6107	10796
542	6118	10782
543	6128	10770
544	6139	10757
545	6149	10745
546	6161	10735
547	6172	10723
548	6183	10712
549	6197	10704
550	6211	10697
551	6222	10685
552	6231	10671
553	6242	10659
554	6253	10647
555	6263	10634
556	6273	10621
557	6285	10611
558	6296	10599
559	6307	10587
